id,channelNum,display-name,url
1606.stations.xmltv.tvmedia.ca,2,"FOX (WFLD) Chicago, IL",
4595.stations.xmltv.tvmedia.ca,4,"ABC (WEEK-TV2) Peoria, IL",www.week.com
4601.stations.xmltv.tvmedia.ca,5,"NBC (WEEK) Bloomington, IL",www.week.com/
1831.stations.xmltv.tvmedia.ca,6,"NBC (WMAQ) Chicago, IL",www.nbc5.com/
4599.stations.xmltv.tvmedia.ca,8,"CBS (WMBD) Central Illinois, IL",www.wmbd.com/
4597.stations.xmltv.tvmedia.ca,10,"FOX (WYZZ) Bloomington, IL",
4603.stations.xmltv.tvmedia.ca,11,"Corner Store (WAOE) Central Illinois, IL",
3805.stations.xmltv.tvmedia.ca,12,"PBS (WILL) Urbana, IL",www.will.uiuc.edu/
4583.stations.xmltv.tvmedia.ca,12-1,"PBS (WILL) Urbana, IL HD",www.will.uiuc.edu/
8324.stations.xmltv.tvmedia.ca,12-2,"PBS Kids 24/7 (WILL-TV2) Urbana, IL",www.will.uiuc.edu/
4584.stations.xmltv.tvmedia.ca,12-3,"Create (WILL-TV3) Urbana, IL",www.will.uiuc.edu/
6188.stations.xmltv.tvmedia.ca,13,Local Programming,
661.stations.xmltv.tvmedia.ca,16,Cartoon Network USA - Eastern Feed,
650.stations.xmltv.tvmedia.ca,17,ESPN2,
594.stations.xmltv.tvmedia.ca,18,ESPN,
14683.stations.xmltv.tvmedia.ca,19,QVC,
14985.stations.xmltv.tvmedia.ca,20,HSN  - Home Shopping Network,www.hsn.com
654.stations.xmltv.tvmedia.ca,21,Lifetime Network US - Eastern Feed,
32361.stations.xmltv.tvmedia.ca,22,MC22 (Mediacom Channel 22),
425.stations.xmltv.tvmedia.ca,23,HLN,Turner.com
70.stations.xmltv.tvmedia.ca,24,CNN,
649.stations.xmltv.tvmedia.ca,25,Discovery Channel (US) - Eastern Feed,
61.stations.xmltv.tvmedia.ca,26,TBS - East,
658.stations.xmltv.tvmedia.ca,27,Nickelodeon USA - East Feed,
1526.stations.xmltv.tvmedia.ca,28,The Weather Channel,www.weather.com
1030.stations.xmltv.tvmedia.ca,29,Paramount Network USA - Eastern Feed,www.spiketv.com
2.stations.xmltv.tvmedia.ca,30,A&E US - Eastern Feed,www.AETV.com
347.stations.xmltv.tvmedia.ca,31,TNT - Eastern Feed,
640.stations.xmltv.tvmedia.ca,32,USA Network - East Feed,
4020.stations.xmltv.tvmedia.ca,33,NBC Sports Chicago,
621.stations.xmltv.tvmedia.ca,34,History Channel US - Eastern Feed,www.HistoryChannel.com
663.stations.xmltv.tvmedia.ca,35,VH1 - Eastern Feed,
656.stations.xmltv.tvmedia.ca,36,MTV USA - Eastern Feed,
664.stations.xmltv.tvmedia.ca,37,WE (Women's Entertainment) - Eastern,
645.stations.xmltv.tvmedia.ca,38,Animal Planet US - East,
596.stations.xmltv.tvmedia.ca,39,Syfy - Eastern Feed,
595.stations.xmltv.tvmedia.ca,40,Disney - Eastern Feed,www.disneychannel.com
623.stations.xmltv.tvmedia.ca,41,HGTV USA - Eastern Feed,
